epoch,accuracy,loss,val_accuracy,val_loss
0,0.37226682901382446,1.3269298076629639,0.42363113164901733,1.2716100215911865
1,0.6440631151199341,0.9884759783744812,0.6657060384750366,0.9169508814811707
2,0.7960143685340881,0.5842341184616089,0.6974063515663147,0.7672169208526611
3,0.8508164882659912,0.41767066717147827,0.7002881765365601,0.78240966796875
4,0.8859673142433167,0.3301992118358612,0.6945244669914246,0.8423736095428467
5,0.9130915999412537,0.2622464597225189,0.6974063515663147,0.8724191784858704
6,0.9310821890830994,0.2158331722021103,0.6829971075057983,0.921903669834137
7,0.9424301385879517,0.18051747977733612,0.680115282535553,0.9946531653404236
8,0.9523941278457642,0.15654371678829193,0.6858789920806885,1.0340620279312134
9,0.9565458297729492,0.13283315300941467,0.680115282535553,1.1149593591690063
10,0.9659562706947327,0.11927477270364761,0.6772334575653076,1.141645908355713
11,0.9678937196731567,0.10880820453166962,0.6743515729904175,1.1821640729904175
12,0.971491813659668,0.09531570971012115,0.680115282535553,1.2095794677734375
13,0.9703847169876099,0.09316825866699219,0.6829971075057983,1.2713143825531006
14,0.973706066608429,0.08816369622945786,0.6743515729904175,1.290142297744751
15,0.9725989699363708,0.08459662646055222,0.680115282535553,1.3817052841186523
16,0.9725989699363708,0.07977340370416641,0.6657060384750366,1.3872191905975342
17,0.973429262638092,0.07275338470935822,0.6887608170509338,1.4280037879943848
18,0.9792416095733643,0.07071403414011002,0.6743515729904175,1.430997371673584
19,0.9767506122589111,0.06603551656007767,0.6858789920806885,1.379375696182251
20,0.9786880612373352,0.06260761618614197,0.6743515729904175,1.460719347000122
21,0.977027416229248,0.05928681418299675,0.6657060384750366,1.4688775539398193
22,0.9792416095733643,0.058209776878356934,0.6974063515663147,1.530168056488037
23,0.9781345129013062,0.06032659113407135,0.6916426420211792,1.5308504104614258
24,0.9781345129013062,0.05567120388150215,0.6772334575653076,1.5629509687423706
